area_type,availability,location,bhk,size_comp,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Uttarahalli,2,BHK,1000,2,2,39.5
Super built-up  Area,Ready To Move,Bannerghatta Road,3,BHK,1630,3,3,68
Super built-up  Area,Ready To Move,Kammasandra,2,BHK,985,2,1,40.5
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,BHK,1200,2,2,70
Built-up  Area,Ready To Move,Ambalipura,3,BHK,1650,3,3,100
Super built-up  Area,Ready To Move,Mico Layout,3,BHK,1670,3,2,59
Super built-up  Area,Ready To Move,5th Block Hbr Layout,5,BHK,1200,5,2,205
Plot  Area,Date Set,Sarjapur  Road,4,Bedroom,1240,4,0,110
Built-up  Area,Ready To Move,Maheswari Nagar,2,BHK,1000,2,2,60
Super built-up  Area,Ready To Move,Doddabanahalli,2,BHK,830,2,2,26
Plot  Area,Date Set,Ramagondanahalli,3,Bedroom,1200,3,1,56.1
Plot  Area,Ready To Move,Sadashiva Nagar,5,Bedroom,9600,7,2,2736
Super built-up  Area,Date Set,Begur Road,4,BHK,2500,6,0,122.5
Super built-up  Area,Ready To Move,Haralur Road,2,BHK,1140,2,2,43
Super built-up  Area,Ready To Move,Nagarbhavi,3,BHK,1635,3,3,85
Built-up  Area,Ready To Move,HSR Layout,2,BHK,1120,2,1,70
Plot  Area,Ready To Move,Kamakya Layout,6,Bedroom,2750,6,3,200
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3,BHK,1760,3,2,185
Super built-up  Area,Ready To Move,Harlur,3,BHK,2137,3,2,110
Super built-up  Area,Ready To Move,Hennur Road,2,BHK,973,2,1,50.74
Super built-up  Area,Date Set,Kundalahalli,3,BHK,1724,3,1,146
Super built-up  Area,Ready To Move,Banashankari,2,BHK,1020,2,2,40.79
Plot  Area,Ready To Move,Hsr layout sector3,4,Bedroom,1200,4,3,375
Super built-up  Area,Ready To Move,Electronic City,1,BHK,750,1,1,35
Super built-up  Area,Ready To Move,Kambipura,2,BHK,883,2,1,49
Built-up  Area,Ready To Move,Thyagraj Nagar,2,Bedroom,660,2,0,76
Super built-up  Area,Ready To Move,Ramagondanahalli,4,BHK,2787,5,2,220
Built-up  Area,Ready To Move,Devasthanagalu,3,BHK,1470,2,3,60
Super built-up  Area,Date Set,Electronics City Phase 1,2,BHK,891,2,1,24.95
Built-up  Area,Ready To Move,"Sarjapur Road, ",2,BHK,1275,2,1,76
Super built-up  Area,Ready To Move,Kothanur,3,BHK,1787,3,2,120
Built-up  Area,Ready To Move,8th Phase JP Nagar,5,Bedroom,1730,5,2,75
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1320,2,2,110
Super built-up  Area,Date Set,Yeshwanthpur,3,BHK,1692,3,3,108
Super built-up  Area,Ready To Move,Bannerghatta Road,3,BHK,1400,3,2,69
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1115,2,1,50
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1370,2,2,56
Super built-up  Area,Date Set,Thirumenahalli,3,BHK,1602,3,2,56
Built-up  Area,Date Set,"Hoodi Circle, ",1,BHK,793,1,1,40
Super built-up  Area,Ready To Move,GM Palaya,1,BHK,675,1,1,35
Built-up  Area,Ready To Move,Chikka Tirupathi,4,Bedroom,3250,4,2,136
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1050,2,3,43
Built-up  Area,Ready To Move,Jalahalli East,2,BHK,1035,2,1,42.5
Super built-up  Area,Date Set,Sarjapur  Road,3,BHK,1200,2,2,44
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1800,3,2,128
Built-up  Area,Ready To Move,Green Glen Layout,3,BHK,1625,3,2,70
Super built-up  Area,Date Set,Electronics City Phase 1,2,BHK,1032,2,1,31.99
Super built-up  Area,Date Set,Whitefield,3,BHK,1496,2,1,71.81
Super built-up  Area,Date Set,Kothnoor Dinne,2,BHK,1100,2,2,38
Built-up  Area,Ready To Move,Kundalahalli,3,BHK,1500,3,2,50
Built-up  Area,Date Set,Electronic City Phase II,2,BHK,1125,2,1,32.63
Super built-up  Area,Ready To Move,Chikka Banaswadi,3,BHK,1555,3,3,73
Super built-up  Area,Ready To Move,Amruthahalli,2,BHK,1025,2,1,42
Super built-up  Area,Date Set,Hennur Road,3,BHK,1482,2,1,83.73
Super built-up  Area,Ready To Move,Banagirinagar,3,BHK,1630,2,2,130
Super built-up  Area,Ready To Move,Arekere,2,BHK,900,2,1,44.5
Super built-up  Area,Ready To Move,Yelahanka,3,BHK,1355,2,3,75
Plot  Area,Date Set,1st Block Koramangala,4,Bedroom,2360,4,2,601
Built-up  Area,Ready To Move,Akshaya Nagar,2,BHK,1200,2,2,45
Super built-up  Area,Ready To Move,Suraksha Nagar,3,BHK,1563,3,2,63
Plot  Area,Ready To Move,Medaralli,4,Bedroom,1344,4,1,84
Super built-up  Area,Ready To Move,6th block Koramangala,3,BHK,3000,3,2,400
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,BHK,812,2,1,42
Built-up  Area,Date Set,Basaveshwara Nagar,2,BHK,1200,2,1,70
Super built-up  Area,Ready To Move,Yelahanka,4,BHK,3175,4,1,156
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,1360,2,1,101
Super built-up  Area,Ready To Move,Hegde Nagar,3,BHK,1835,3,3,88
Built-up  Area,Ready To Move,Rachenahalli,3,BHK,1756,3,2,110
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,BHK,1296,2,2,51.83
Super built-up  Area,Ready To Move,Haralur Road,2,BHK,1300,2,1,75
Super built-up  Area,Ready To Move,Anandapura,2,BHK,1141,2,1,50
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,BHK,1270,2,2,50.79
Built-up  Area,Ready To Move,Electronic City,2,BHK,1210,2,1,55
Super built-up  Area,Ready To Move,Hormavu,2,BHK,1310,2,2,67
Plot  Area,Ready To Move,Ejipura,5,Bedroom,1356,5,2,139
Super built-up  Area,Date Set,Magadi Road,3,BHK,1187,2,0,55.2
Super built-up  Area,Ready To Move,Gubbalala,3,BHK,1745,3,2,140
Plot  Area,Date Set,KR Puram,5,Bedroom,1200,5,1,125
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1050,2,2,37
Plot  Area,Ready To Move,Banashankari,4,Bedroom,2400,4,3,500
Super built-up  Area,Date Set,Electronic City Phase II,2,BHK,1140,2,1,34
Super built-up  Area,Ready To Move,Varthur,2,BHK,1210,2,2,54
Super built-up  Area,Date Set,Kasavanhalli,3,BHK,2035,3,2,142
Super built-up  Area,Ready To Move,Sarjapur,1,BHK,633,1,1,17.09
Built-up  Area,Ready To Move,Amruthahalli,1,BHK,485,1,1,19.5
Super built-up  Area,Ready To Move,Varthur,2,BHK,1112,2,2,40
Plot  Area,Ready To Move,Ullal Uppanagar,2,Bedroom,1200,2,0,82
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,2275,4,2,187
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3,BHK,1419,3,2,85
Super built-up  Area,Date Set,Sri Sai Layout,2,BHK,1195,2,2,42.4
Built-up  Area,Ready To Move,Versova Layout,3,Bedroom,2020,3,3,270
Super built-up  Area,Ready To Move,Kundalahalli,2,BHK,1047,2,2,91
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1884,4,2,117
Plot  Area,Ready To Move,Malleshpalya,3,Bedroom,1200,3,2,149
Super built-up  Area,Ready To Move,Bannerghatta Road,2,BHK,905,2,1,58
Super built-up  Area,Ready To Move,JP Nagar,3,BHK,1500,2,1,108
Built-up  Area,Ready To Move,Chikkajala,1,BHK,850,1,0,50
Built-up  Area,Date Set,Bommasandra Industrial Area,2,BHK,1125,2,1,32.49
Built-up  Area,Ready To Move,Tindlu,2,BHK,1165,2,2,59.8
Built-up  Area,Ready To Move,Maruthi Sevanagar,2,BHK,933,2,0,55
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,1305,2,1,77
Super built-up  Area,Ready To Move,Billekahalli,2,BHK,1125,2,1,65
Super built-up  Area,Ready To Move,BSM Extension,2,BHK,865,2,2,33
Super built-up  Area,Ready To Move,Jigani,3,BHK,1245,3,3,66
Super built-up  Area,Ready To Move,Kalyan nagar,2,BHK,8840,2,3,300
Super built-up  Area,Ready To Move,Udayagiri,3,BHK,1145,2,2,60
Built-up  Area,Ready To Move,AECS Layout,3,BHK,2000,3,1,90
Super built-up  Area,Date Set,Hosa Road,1,BHK,625,1,1,43.68
Super built-up  Area,Ready To Move,Kundalahalli,3,BHK,1724,3,2,128
Plot  Area,Ready To Move,Madiwala,1,Bedroom,400,1,1,75
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1270,2,1,54
Super built-up  Area,Date Set,Madiwala,3,BHK,1250,3,2,39.5
Super built-up  Area,Date Set,Jakkur,3,BHK,1485,3,2,72
Super built-up  Area,Ready To Move,Shankarapuram,2,BHK,823,2,1,80
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BHK,990,2,2,50
Plot  Area,Ready To Move,TC Palaya,3,Bedroom,1200,2,0,66
Super built-up  Area,Date Set,Kothanur,2,BHK,1185,2,2,59
Super built-up  Area,Ready To Move,Kadubeesanahalli,2,BHK,1140,2,1,78
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,BHK,1950,4,2,120
Super built-up  Area,Ready To Move,Yelahanka,3,BHK,1756,3,2,125
Built-up  Area,Ready To Move,Kumaraswami Layout,4,Bedroom,2600,4,2,300
Super built-up  Area,Date Set,Chandapura,1,BHK,520,1,1,14.04
Built-up  Area,Ready To Move,Doddakannelli,2,BHK,1025,2,1,48
Built-up  Area,Date Set,Whitefield,2,BHK,1216,2,1,72
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1026,2,2,60.8
Super built-up  Area,Ready To Move,Sarjapur  Road,4,BHK,3335,4,3,300
Built-up  Area,Ready To Move,Kodichikkanahalli,5,Bedroom,2700,4,2,125
Super built-up  Area,Date Set,Begur,3,BHK,1411,2,2,60
Super built-up  Area,Ready To Move,Kanakpura Road,3,BHK,1320,2,1,39.6
Built-up  Area,Ready To Move,Bannerghatta,2,BHK,1320,2,0,50
Plot  Area,Ready To Move,OMBR Layout,4,Bedroom,615,4,2,110
Super built-up  Area,Ready To Move,Kalena Agrahara,3,BHK,1804,3,2,155
Super built-up  Area,Ready To Move,HSR Layout,2,BHK,1140,2,2,46
Plot  Area,Date Set,Banjara Layout,4,Bedroom,1200,4,1,105
Super built-up  Area,Ready To Move,Hebbal,4,BHK,2375,4,2,189
Plot  Area,Ready To Move,Chamundi Nagar,3,Bedroom,1750,3,2,120
Plot  Area,Ready To Move,Wilson Garden,9,Bedroom,960,5,2,130
Super built-up  Area,Ready To Move,TC Palaya,2,BHK,1152,2,2,55
Super built-up  Area,Ready To Move,Thanisandra,2,BHK,965,2,1,54
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,BHK,1684,3,1,120
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,1672,3,2,86
Super built-up  Area,Ready To Move,Panathur,2,BHK,1075,2,2,60
Plot  Area,Ready To Move,Sarjapur,3,Bedroom,1500,5,2,95
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3,BHK,1464,3,2,56
Super built-up  Area,Date Set,Hebbal,2,BHK,1420,2,1,99.26
Super built-up  Area,Ready To Move,Nagashetty Halli,2,BHK,750,2,0,40
Super built-up  Area,Ready To Move,Yeshwanthpur,2,BHK,1169,2,2,64.08
Super built-up  Area,Date Set,Devanahalli,3,BHK,1290,2,1,62
Super built-up  Area,Ready To Move,Kengeri,2,BHK,1160,2,2,40.6
Built-up  Area,Ready To Move,Shampura,7,Bedroom,2800,5,3,95
Super built-up  Area,Ready To Move,Mysore Road,3,BHK,1500,3,2,70
Super built-up  Area,Ready To Move,Domlur,3,BHK,1850,3,1,180
Super built-up  Area,Date Set,Venkatapura,3,BHK,1300,3,2,46
Super built-up  Area,Date Set,Electronic City Phase II,3,BHK,1310,2,1,37.84
Built-up  Area,Ready To Move,RMV,3,BHK,2750,5,2,550
Super built-up  Area,Ready To Move,Bhoopsandra,3,BHK,2150,3,0,170
Built-up  Area,Ready To Move,5th Block Hbr Layout,6,BHK,5100,5,3,300
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1300,2,3,69
Plot  Area,Ready To Move,Kadugodi,3,Bedroom,1875,2,1,110
Super built-up  Area,Ready To Move,Hulimavu,3,BHK,1260,2,1,82
Built-up  Area,Ready To Move,Kengeri,5,Bedroom,2500,4,3,100
Super built-up  Area,Date Set,Begur Road,2,BHK,1241,2,1,64
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1025,2,2,45.5
Plot  Area,Ready To Move,Postal Colony,2,Bedroom,1500,1,0,218
Built-up  Area,Date Set,Electronic City,2,BHK,1070,2,1,60
Super built-up  Area,Ready To Move,Begur,2,BHK,815,2,1,40
Built-up  Area,Ready To Move,Kanakpura Road,3,BHK,2000,3,3,105
Super built-up  Area,Ready To Move,Malleshwaram,2,BHK,1400,2,1,190
Plot  Area,Ready To Move,Varthur,4,Bedroom,1740,4,3,175
Super built-up  Area,Ready To Move,ITPL,4,BHK,5667.5,5,0,300
Built-up  Area,Date Set,Sarjapur  Road,2,BHK,1216,2,2,70
Super built-up  Area,Ready To Move,pavitra paradise,3,BHK,2200,2,1,190
Plot  Area,Ready To Move,Hegde Nagar,4,Bedroom,3500,5,2,450
Plot  Area,Ready To Move,Shampura,6,Bedroom,970,6,3,105
Plot  Area,Ready To Move,Vidyaranyapura,7,Bedroom,3150,7,3,375
Plot  Area,Ready To Move,Kanakpura Road,2,Bedroom,1200,2,0,62
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,1026,2,1,50.18
Built-up  Area,Ready To Move,Hulimavu,1,BHK,450,1,1,20
Super built-up  Area,Ready To Move,KR Puram,2,BHK,1205,2,1,45.79
Super built-up  Area,Ready To Move,Jakkur Plantation,2,BHK,1368,2,3,87
Built-up  Area,Ready To Move,Anekal,1,BHK,420,1,1,12.5
Built-up  Area,Ready To Move,Doddakallasandra,2,BHK,1270,2,2,42
Super built-up  Area,Ready To Move,Anekal,2,BHK,614,1,1,28
Plot  Area,Date Set,Margondanahalli,2,Bedroom,1050,2,0,58
Super built-up  Area,Ready To Move,Yelahanka,2,BHK,1408,2,2,58
Super built-up  Area,Ready To Move,Subramanyapura,3,BHK,1223,2,2,42.81
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,3,BHK,1507,3,1,80
Super built-up  Area,Ready To Move,kadubisnahalli,2,BHK,1160,2,2,57
Plot  Area,Ready To Move,Kithaganur,3,Bedroom,1200,3,1,70
Built-up  Area,Ready To Move,Poorna Pragna Layout,2,BHK,960,2,3,50
Super built-up  Area,Ready To Move,NGR Layout,2,BHK,1021,2,2,46
Super built-up  Area,Ready To Move,Hegde Nagar,3,BHK,2162.03,4,2,129
Super built-up  Area,Ready To Move,Channasandra,2,BHK,1065,2,1,36
Super built-up  Area,Ready To Move,Attibele,1,BHK,400,1,1,10.25
Super built-up  Area,Ready To Move,Bannerghatta Road,3,BHK,1465,2,1,75
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,900,2,1,41
Super built-up  Area,Ready To Move,Marathahalli,3,BHK,1800,3,2,95
Super built-up  Area,Ready To Move,Amblipura,2,BHK,1175,2,2,83
Super built-up  Area,Ready To Move,Lavelle Road,3,BHK,6729,4,2,900
Plot  Area,Ready To Move,Vijayanagar,4,Bedroom,1500,4,1,360
Super built-up  Area,Ready To Move,Sanjay nagar,2,BHK,1050,2,0,59
Built-up  Area,Date Set,Electronic City Phase II,3,BHK,1400,2,2,40.43
Super built-up  Area,Ready To Move,Indira Nagar,3,BHK,1650,3,1,150
Super built-up  Area,Ready To Move,KR Puram,3,BHK,1827,3,2,97
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1930,4,2,122
Super built-up  Area,Date Set,Mysore Road,2,BHK,883,2,1,37
Built-up  Area,Ready To Move,Kengeri,1,BHK,550,1,1,16.75
Built-up  Area,Date Set,Electronic City,3,BHK,1400,2,1,40.44
Plot  Area,Date Set,RMV 2nd Stage,4,Bedroom,1350,4,1,310
Super built-up  Area,Ready To Move,Kanakapura,3,BHK,1290,2,3,38.69
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,BHK,1021,3,2,59
Super built-up  Area,Date Set,Whitefield,2,BHK,1158,2,1,55
Plot  Area,Ready To Move,Varanasi,5,Bedroom,1200,4,1,99
Super built-up  Area,Ready To Move,Nagarbhavi,3,BHK,1400,2,2,135
Plot  Area,Ready To Move,Doddaballapur,4,Bedroom,2400,3,0,200
Super built-up  Area,Date Set,Munnekollal,3,BHK,1200,2,1,57.9
Built-up  Area,Ready To Move,JP Nagar,3,BHK,1520,3,2,125
Super built-up  Area,Date Set,Thanisandra,1,BHK,777,1,0,38.46
Super built-up  Area,Ready To Move,EPIP Zone,3,BHK,2710,3,2,177
Super built-up  Area,Ready To Move,Kenchenahalli,2,BHK,1150,2,2,57
Super built-up  Area,Ready To Move,Yelahanka,2,BHK,1101,2,2,37
Super built-up  Area,Ready To Move,Mahalakshmi Layout,3,BHK,1200,2,3,110
Super built-up  Area,Date Set,Hebbal,2,BHK,1252,2,1,92
Super built-up  Area,Ready To Move,Marathahalli,3,BHK,1650,3,2,85
Built-up  Area,Ready To Move,Marathahalli,2,BHK,1270,2,2,80
Super built-up  Area,Ready To Move,Tumkur Road,2,BHK,992,2,1,70
Super built-up  Area,Ready To Move,BEML Layout,3,BHK,2000,3,2,85
Super built-up  Area,Ready To Move,Geddalahalli,2,BHK,893,2,2,34.5
Built-up  Area,Ready To Move,Bisuvanahalli,3,BHK,1075,2,1,41.49
Built-up  Area,Ready To Move,Kumaraswami Layout,7,Bedroom,3200,7,0,150
Super built-up  Area,Ready To Move,Electronic City,2,BHK,1190,2,1,42
Built-up  Area,Ready To Move,Ashwathnagar,3,Bedroom,800,2,0,60
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1814,3,3,63
Built-up  Area,Ready To Move,Rahmath Nagar,3,BHK,1400,3,2,98
Plot  Area,Ready To Move,Bommasandra,5,Bedroom,1400,6,3,252
Super built-up  Area,Ready To Move,Murugeshpalya,3,BHK,1344,2,0,56
Plot  Area,Ready To Move,Whitefield,4,Bedroom,5400,5,3,475
Super built-up  Area,Ready To Move,Kanakpura Road,3,BHK,1843,3,2,95
Super built-up  Area,Date Set,Chikkadunnasandra,2,BHK,1138,2,1,32
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3,BHK,1495,2,2,70
Super built-up  Area,Ready To Move,Electronic City,2,BHK,880,2,1,19
Super built-up  Area,Date Set,Whitefield,3,BHK,1396,3,1,74
Built-up  Area,Ready To Move,Garudachar Palya,3,BHK,1610,2,3,119
Super built-up  Area,Ready To Move,Tindlu,2,BHK,1050,2,2,55
Built-up  Area,Date Set,Kumbena Agrahara,3,BHK,1410,2,2,43.71
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,BHK,1050,2,2,37.8
Built-up  Area,Ready To Move,Kumaraswami Layout,3,BHK,1310,2,1,85
Super built-up  Area,Ready To Move,Yelahanka,2,BHK,1104,2,2,58
Super built-up  Area,Date Set,Hennur Road,2,BHK,1165,2,1,67
Super built-up  Area,Ready To Move,Kudlu,2,BHK,1027,2,2,44
Super built-up  Area,Ready To Move,Hormavu,2,BHK,1310,2,3,60
Built-up  Area,Ready To Move,Chikkanahalli,2,BHK,1052,2,2,52
Super built-up  Area,Ready To Move,Singasandra,3,BHK,1464,3,2,56
Super built-up  Area,Ready To Move,1st Block Koramangala,2,BHK,1000,2,2,45
Super built-up  Area,Date Set,Jayanagar,3,BHK,2240,3,2,300
Super built-up  Area,Ready To Move,Electronic City,2,BHK,1150,2,1,38.08
Super built-up  Area,Date Set,Thanisandra,3,BHK,2019,3,1,70.67
Super built-up  Area,Ready To Move,Varthur,2,BHK,986,2,1,31
Plot  Area,Ready To Move,Banashankari Stage III,1,Bedroom,1350,1,1,145
Built-up  Area,Ready To Move,9th Phase JP Nagar,8,BHK,800,8,2,140
Super built-up  Area,Ready To Move,Akshaya Nagar,3,BHK,1893,4,2,95
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,BHK,1318,3,2,56
Built-up  Area,Ready To Move,Yelahanka,3,BHK,1325,2,2,58
Built-up  Area,Ready To Move,Kereguddadahalli,2,BHK,800,2,1,33
Super built-up  Area,Ready To Move,Canara Bank Colony,3,BHK,1300,3,2,42.25
Built-up  Area,Ready To Move,Dodda Banaswadi,3,BHK,1300,2,2,60
Super built-up  Area,Ready To Move,Jalahalli East,2,BHK,1010,2,1,52
Super built-up  Area,Ready To Move,Banashankari,2,BHK,1260,2,3,75
Built-up  Area,Ready To Move,Ulsoor,4,Bedroom,2500,4,0,170
Plot  Area,Ready To Move,Halanayakanahalli,3,Bedroom,1520,3,1,165
Super built-up  Area,Ready To Move,Bellandur,3,BHK,1665,3,2,85
Super built-up  Area,Ready To Move,Subramanyapura,3,BHK,1800,3,2,80
Super built-up  Area,Ready To Move,Harlur,2,BHK,1197,2,1,75
Super built-up  Area,Ready To Move,Manayata Tech Park,2,BHK,1050,2,2,45
Plot  Area,Ready To Move,Manjunath Nagar,5,Bedroom,910,4,2,194
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1241,2,1,68
Super built-up  Area,Ready To Move,Maithri Layout,3,BHK,1567,2,3,62
Super built-up  Area,Ready To Move,Kasavanhalli,3,BHK,1747,3,1,110
Super built-up  Area,Date Set,Ramagondanahalli,3,BHK,1475,2,2,55
Plot  Area,Ready To Move,Park View Layout,4,Bedroom,600,4,1,70
Plot  Area,Ready To Move,Xavier Layout,3,Bedroom,1524,4,2,400
Super built-up  Area,Ready To Move,Hennur Road,2,BHK,980,2,1,51
Super built-up  Area,Date Set,Dasanapura,2,BHK,966,2,1,58
Super built-up  Area,Ready To Move,Ferrar Nagar,4,BHK,2360,3,2,185
Super built-up  Area,Date Set,Sarjapur  Road,2,BHK,1112,2,1,62
Super built-up  Area,Ready To Move,Electronic City,2,BHK,550,1,1,16
Built-up  Area,Ready To Move,Surabhi Layout,3,BHK,1760,3,3,90
Super built-up  Area,Ready To Move,Hennur,3,BHK,1830,2,3,113
Super built-up  Area,Date Set,Yelahanka,2,BHK,1175,2,1,67.77
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1175,2,1,41
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,BHK,1025,2,2,45
Super built-up  Area,Date Set,Hennur Road,2,BHK,1232,2,1,80
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,BHK,1010,2,2,57
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1273,2,2,60
Super built-up  Area,Date Set,Battarahalli,2,BHK,1590,2,2,102
Super built-up  Area,Ready To Move,Air View Colony,2,BHK,1100,2,1,58.5
Super built-up  Area,Ready To Move,Electronic City Phase II,3,BHK,1252,2,1,65
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4,BHK,2615,5,3,222
Plot  Area,Ready To Move,Arishinakunte,5,Bedroom,1200,6,2,140
Super built-up  Area,Ready To Move,Yelahanka,2,BHK,1322,2,1,77.9
Plot  Area,Ready To Move,7th Phase JP Nagar,1,Bedroom,1000,1,1,60
Super built-up  Area,Ready To Move,Harlur,3,BHK,1755,3,2,117
Super built-up  Area,Ready To Move,Electronic City Phase II,2,BHK,1135,2,2,46
Plot  Area,Ready To Move,Rajaji Nagar,8,Bedroom,1200,10,2,180
Plot  Area,Ready To Move,Electronic City,4,Bedroom,1200,4,1,125
Super built-up  Area,Ready To Move,Nagavarapalya,2,BHK,1260,2,2,85.5
Plot  Area,Ready To Move,Hoodi,5,Bedroom,3250,5,2,395
Plot  Area,Ready To Move,Ambedkar Nagar,4,Bedroom,3500,4,2,550
Plot  Area,Ready To Move,Manjunath Nagar,5,Bedroom,1200,6,2,110
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1100,2,1,53
Super built-up  Area,Ready To Move,Electronic City Phase II,3,BHK,1305,3,1,65
Built-up  Area,Ready To Move,Ayappa Nagar,2,BHK,1236,2,1,50
Built-up  Area,Ready To Move,Uttarahalli,2,BHK,1125,1,2,45
Built-up  Area,Date Set,KR Puram,2,BHK,1075,2,2,32.25
Super built-up  Area,Ready To Move,BEML Layout,3,BHK,2000,3,2,85
Plot  Area,Ready To Move,Kadugondanahalli,8,Bedroom,772,5,1,60
Built-up  Area,Ready To Move,Thanisandra,6,Bedroom,3000,6,0,110
Super built-up  Area,Ready To Move,Kadugodi,2,BHK,1150,2,2,42
Plot  Area,Ready To Move,9th Block Jayanagar,4,Bedroom,1440,4,1,240
Super built-up  Area,Ready To Move,Hennur Road,2,BHK,1085,2,1,43.4
Built-up  Area,Ready To Move,Hebbal Kempapura,3,BHK,1785,3,0,165
Super built-up  Area,Ready To Move,Malleshwaram,3,BHK,2475,4,3,300
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1930,4,2,120
Super built-up  Area,Ready To Move,4th Phase JP Nagar,2,BHK,600,4,1,70
Plot  Area,Ready To Move,Kadugondanahalli,2,Bedroom,800,1,0,45
Built-up  Area,Ready To Move,Kumaraswami Layout,4,BHK,2450,3,2,110
Plot  Area,Date Set,akshaya nagar t c palya,4,Bedroom,1200,4,0,120
Super built-up  Area,Ready To Move,Bannerghatta Road,3,BHK,1920,3,3,122
Super built-up  Area,Date Set,Kothannur,2,BHK,1085,2,2,34.2
Super built-up  Area,Ready To Move,Thanisandra,1,BHK,760,1,2,50.4
Built-up  Area,Ready To Move,Sahakara Nagar,2,BHK,1201,2,3,80
Super built-up  Area,Date Set,Electronic City,3,BHK,1615,3,2,97
Super built-up  Area,Ready To Move,HSR Layout,2,BHK,1289,2,2,70
Super built-up  Area,Ready To Move,Budigere,3,BHK,1991,4,2,100
Super built-up  Area,Ready To Move,Kasavanhalli,2,BHK,1377,2,2,80
Super built-up  Area,Ready To Move,Cunningham Road,3,BHK,2880,3,2,560
Plot  Area,Ready To Move,Laxmi Sagar Layout,3,Bedroom,1892,3,2,200
Built-up  Area,Ready To Move,Shivaji Nagar,3,BHK,2176,3,3,348
Super built-up  Area,Date Set,Thanisandra,1,BHK,663,1,0,32.82
Built-up  Area,Date Set,Electronic City,2,BHK,1165,2,1,33.65
Super built-up  Area,Ready To Move,Talaghattapura,3,BHK,3554,4,1,340
Super built-up  Area,Ready To Move,Thanisandra,2,BHK,1260,2,1,45.5
Built-up  Area,Ready To Move,Volagerekallahalli,2,BHK,1095,2,1,39
Super built-up  Area,Ready To Move,KR Garden,2,BHK,1050,2,2,65
Super built-up  Area,Ready To Move,Seegehalli,2,BHK,1176,2,2,50
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1801,3,2,115
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1315,2,3,55
Super built-up  Area,Ready To Move,Parappana Agrahara,2,BHK,1194,2,2,46
Plot  Area,Ready To Move,NRI Layout,2,Bedroom,2400,2,1,125
Super built-up  Area,Date Set,Uttarahalli,3,BHK,1308,2,3,53
Plot  Area,Ready To Move,Sarjapur  Road,4,Bedroom,4250,4,2,610
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1806,6,2,116
Built-up  Area,Date Set,Thanisandra,4,Bedroom,3671,4,1,220
Super built-up  Area,Ready To Move,Hoodi,3,BHK,2144,3,2,140
Built-up  Area,Ready To Move,Hoskote,2,BHK,1065,2,3,33.75
Super built-up  Area,Date Set,Balagere,2,BHK,1205,2,1,67
Super built-up  Area,Ready To Move,Uttarahalli,2,BHK,1160,2,2,40.58
Plot  Area,Ready To Move,Kanaka Nagar,4,Bedroom,750,4,2,90
